dataset,method,seed,C,tol,sparsity,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
synth_sp0.9,DCD_L1_perm,42,0.001,1,0.9,1.3896961212158203,16,11.722216565464322,0.8021333333333334,0.8028374436488995,0.8034766454352441,0.8031569173630455,0.8999451080686233
synth_sp0.9,LinearSVC_L1,42,0.001,1,0.9,0.9995059967041016,17,,0.8034,0.8041373823100385,0.8046709129511678,0.8044040591629634,0.8996092958870661
synth_sp0.9,LinearSVC_L2,42,0.001,1,0.9,1.2184679508209229,20,,0.8296666666666667,0.8305242203052422,0.8304140127388535,0.8304691128657687,0.9268200383781287
synth_sp0.9,SVC_linear,42,0.001,1,0.9,Timeout >500s
synth_sp0.9,DCD_L1_perm,142,0.001,1,0.9,1.8326430320739746,16,11.736209460735756,0.8026666666666666,0.8010231556273559,0.8005920344456404,0.800807537012113,0.9004827347940567
synth_sp0.9,LinearSVC_L1,142,0.001,1,0.9,1.410620927810669,17,,0.8033333333333333,0.8007246376811594,0.8028794402583423,0.8018005912389142,0.9009967148232773
synth_sp0.9,LinearSVC_L2,142,0.001,1,0.9,1.9192755222320557,20,,0.8302,0.8267558528428094,0.8315392895586652,0.8291406721674381,0.9263669248117391
synth_sp0.9,SVC_linear,142,0.001,1,0.9,Skipped (prior timeout)
synth_sp0.9,DCD_L1_perm,242,0.001,1,0.9,4.228672504425049,16,11.746634042360768,0.8045333333333333,0.8111438521296545,0.7991554499868039,0.8051050252592395,0.9007768413564944
synth_sp0.9,LinearSVC_L1,242,0.001,1,0.9,1.2928059101104736,17,,0.8050666666666667,0.8118466898954704,0.7994193718659277,0.8055851063829788,0.900494126333593
synth_sp0.9,LinearSVC_L2,242,0.001,1,0.9,1.6031169891357422,20,,0.8302,0.8364317239534572,0.825283716020058,0.8308203254732647,0.9268293836439127
synth_sp0.9,SVC_linear,242,0.001,1,0.9,Skipped (prior timeout)
synth_sp0.95,DCD_L1_perm,42,0.001,1,0.95,0.9799313545227051,17,15.598188152860807,0.7146666666666667,0.7179625387414095,0.7089820359281437,0.7134440278521692,0.8119181454503597
synth_sp0.95,LinearSVC_L1,42,0.001,1,0.95,0.8003156185150146,18,,0.7150666666666666,0.7198480531813866,0.7060545575515635,0.7128845895472256,0.812261986825725
synth_sp0.95,LinearSVC_L2,42,0.001,1,0.95,0.9715151786804199,21,,0.7408666666666667,0.745466847090663,0.7330671989354625,0.7392150285139215,0.8453479858363877
synth_sp0.95,SVC_linear,42,0.001,1,0.95,Timeout >500s
synth_sp0.95,DCD_L1_perm,142,0.001,1,0.95,1.2523603439331055,17,15.692269845466209,0.7132,0.7179452968645764,0.7109261461223412,0.7144184811471057,0.8131320057151861
synth_sp0.95,LinearSVC_L1,142,0.001,1,0.95,0.8336672782897949,17,,0.7149333333333333,0.7184556189465304,0.7154181529924692,0.7169336687408977,0.8132354633607298
synth_sp0.95,LinearSVC_L2,142,0.001,1,0.95,1.2562193870544434,21,,0.7396666666666667,0.7442015462543322,0.7376139516448672,0.7408931059650985,0.8498049052649594
synth_sp0.95,SVC_linear,142,0.001,1,0.95,Skipped (prior timeout)
synth_sp0.95,DCD_L1_perm,242,0.001,1,0.95,1.131467580795288,15,15.700457248367924,0.7187333333333333,0.7192424844391472,0.7212483399734396,0.7202440156488297,0.8136888767998066
synth_sp0.95,LinearSVC_L1,242,0.001,1,0.95,0.984849214553833,19,,0.7164,0.7172990183072433,0.7180610889774236,0.7176798513405893,0.8140802963958534
synth_sp0.95,LinearSVC_L2,242,0.001,1,0.95,1.5480244159698486,22,,0.742,0.7436102236421726,0.7418326693227092,0.7427203829278022,0.8488471815549048
synth_sp0.95,SVC_linear,242,0.001,1,0.95,Skipped (prior timeout)
synth_sp0.99,DCD_L1_perm,42,0.001,1,0.99,0.8068368434906006,19,23.426717831570567,0.565,0.5656579122783629,0.5649800266311584,0.5653187662380921,0.6072364217536387
synth_sp0.99,LinearSVC_L1,42,0.001,1,0.99,0.3121373653411865,19,,0.5659333333333333,0.5668048682626722,0.5643142476697737,0.5655568159071195,0.6077956405255831
synth_sp0.99,LinearSVC_L2,42,0.001,1,0.99,0.5403463840484619,25,,0.572,0.572434875066454,0.5735019973368841,0.5729679393375017,0.6253445250569334
synth_sp0.99,SVC_linear,42,0.001,1,0.99,264.6338758468628,5000,,0.5498666666666666,0.5518609742747673,0.537017310252996,0.5443379673370226,0.5767617009096906
synth_sp0.99,DCD_L1_perm,142,0.001,1,0.99,0.3760061264038086,18,23.40918046145289,0.5664666666666667,0.5706385780118499,0.5720696937697993,0.5713532397337024,0.6037880974231239
synth_sp0.99,LinearSVC_L1,142,0.001,1,0.99,0.330066442489624,20,,0.5659333333333333,0.5703341698586712,0.5699577613516368,0.5701459034792368,0.6039126079861996
synth_sp0.99,LinearSVC_L2,142,0.001,1,0.99,0.4753742218017578,26,,0.5702666666666667,0.5743225466982373,0.5762935586061246,0.5753063644748979,0.6214061020736992
synth_sp0.99,SVC_linear,142,0.001,1,0.99,267.9131512641907,5000,,0.5484666666666667,0.5535404720629418,0.5479144667370645,0.5507131011608624,0.5762536256167389
synth_sp0.99,DCD_L1_perm,242,0.001,1,0.99,0.35486602783203125,17,23.422552664808507,0.5646666666666667,0.5695628997867804,0.564298917348825,0.5669186894813636,0.6076392610238821
synth_sp0.99,LinearSVC_L1,242,0.001,1,0.99,0.28693389892578125,19,,0.5634666666666667,0.5683271177410761,0.56337470293108,0.5658400742607081,0.6078079885608063
synth_sp0.99,LinearSVC_L2,242,0.001,1,0.99,0.5012764930725098,26,,0.5741333333333334,0.5791510945008008,0.572880908370742,0.5759989380061065,0.6261443514038807
synth_sp0.99,SVC_linear,242,0.001,1,0.99,Timeout >500s
