dataset,method,seed,C,tol,time_s,n_iter,primal_obj,accuracy,precision,recall,f1,auc
a9a,LinearSVC_L1,42,0.1,1,0.8057570457458496,516.0,,0.8481539616460793,0.7207493814068575,0.5869314910765688,0.6469934951610344,0.9010323992941984
a9a,LinearSVC_L2,42,0.1,1,2.7804243564605713,679.0,,0.8496553606769944,0.7257548845470693,0.5880829015544041,0.6497058355859437,0.902858933470897
a9a,SVC_linear,42,0.1,1,40.83274054527283,5000.0,,0.6660752064423667,0.3398058252427184,0.4332181922855498,0.3808680248007086,0.582715450565954
a9a,DCD_L2_perm,142,0.1,1,4.034061908721924,589.0,1440.9092972381352,0.849450624445506,0.7331499312242091,0.5985401459854015,0.6590417310664606,0.9053663605016152
a9a,LinearSVC_L1,142,0.1,1,0.9187185764312744,480.0,,0.8490411519825292,0.7299046321525886,0.6016282987085907,0.65958756540474,0.9038257899240072
a9a,LinearSVC_L2,142,0.1,1,2.677518606185913,577.0,,0.849450624445506,0.7328296703296703,0.5991016282987086,0.6592523941921532,0.9052438985310184
a9a,SVC_linear,142,0.1,1,41.78331518173218,5000.0,,0.763256670988876,0.5096774193548387,0.6875350926445817,0.5853950041831003,0.814079200646826
a9a,DCD_L2_perm,242,0.1,1,3.6312155723571777,541.0,1435.8048822705634,0.8478127345935986,0.7308233638282899,0.5863918690005646,0.6506892230576441,0.9013297162898224
a9a,LinearSVC_L1,242,0.1,1,0.6974270343780518,352.0,,0.846106599331195,0.7209062821833162,0.5928853754940712,0.6506584043377227,0.8991401432930197
a9a,LinearSVC_L2,242,0.1,1,3.0028562545776367,603.0,,0.8480857162355832,0.7292682926829268,0.5909090909090909,0.6528384279475983,0.9014569677034996
a9a,SVC_linear,242,0.1,1,41.249645709991455,5000.0,,0.6695557223776701,0.3629270350063264,0.4858836815358554,0.4154997585707388,0.6756668921855791
a9a,DCD_L2_perm,42,1.0,1,31.112581253051758,5000.0,14414.498823153144,0.8491776428035215,0.7223786066150598,0.5909614277489925,0.6500949968334389,0.9027502194750696
a9a,LinearSVC_L1,42,1.0,1,6.316664695739746,4985.0,,0.8482904524670716,0.722202486678508,0.5852043753598157,0.6465256797583081,0.9011665279546116
a9a,LinearSVC_L2,42,1.0,1,22.299391508102417,5000.0,,0.8495871152664983,0.7250177179305457,0.5889464594127807,0.6499364675984752,0.9026029586171496
a9a,SVC_linear,42,1.0,1,26.267248392105103,5000.0,,0.5540162424076981,0.2637023313262313,0.4916522740356937,0.3432820822027937,0.5422100113384938
a9a,DCD_L2_perm,142,1.0,1,30.857983112335205,5000.0,14417.034197464314,0.8490411519825292,0.7308481532147743,0.5999438517686693,0.6589577551649707,0.905076405587769
a9a,LinearSVC_L1,142,1.0,1,5.75196385383606,3331.0,,0.8495188698560022,0.7322834645669292,0.6005053340819764,0.6598796853308654,0.9037686089418704
a9a,LinearSVC_L2,142,1.0,1,22.021857500076294,5000.0,,0.8491776428035215,0.7324621733149931,0.5979786636720943,0.6584234930448223,0.9051523937720872
a9a,SVC_linear,142,1.0,1,26.389251708984375,5000.0,,0.723469596669624,0.4419706300331596,0.523862998315553,0.4794450154162384,0.7226740338249177
a9a,DCD_L2_perm,242,1.0,1,33.04418158531189,5000.0,14356.820118532316,0.8482222070565755,0.7289784572619875,0.5923207227555054,0.653582554517134,0.9012582390081382
a9a,LinearSVC_L1,242,1.0,1,6.217856168746948,3381.0,,0.8459701085102027,0.7227036395147314,0.5886504799548278,0.648825268398942,0.8990983698656861
a9a,LinearSVC_L2,242,1.0,1,21.267783403396606,5000.0,,0.8478809800040947,0.7301086575534526,0.588085827216262,0.651446442533229,0.9013154614888894
a9a,SVC_linear,242,1.0,1,26.363802909851074,5000.0,,0.6256739234286495,0.3033002632111763,0.4229249011857707,0.35326022874661,0.5775884495152123
a9a,DCD_L2_perm,42,10.0,1,31.370752096176147,5000.0,148883.15449888664,0.848017470825087,0.7382499044707681,0.5561312607944733,0.634378591364308,0.8987492508853805
a9a,LinearSVC_L1,42,10.0,1,17.185983657836914,5000.0,,0.846584317204668,0.7245421245421245,0.5693724812895797,0.6376531270148291,0.898829460287797
a9a,LinearSVC_L2,42,10.0,1,24.283246994018555,5000.0,,0.8469255442571487,0.7210053859964093,0.5780080598733448,0.641636044096501,0.8975403162325857
a9a,SVC_linear,42,10.0,1,8.830531597137451,5000.0,,0.5417320685183922,0.2424097917660149,0.4389752446747265,0.3123399897593445,0.5023698080376567
a9a,DCD_L2_perm,142,10.0,1,32.414828300476074,5000.0,151796.21951671565,0.8386678495871153,0.7544604927782498,0.4985962942167322,0.6004056795131846,0.8991324184477443
a9a,LinearSVC_L1,142,10.0,1,16.99516010284424,5000.0,,0.8468572988466526,0.7446176688938382,0.5631667602470523,0.6413043478260869,0.9028617372964436
a9a,LinearSVC_L2,142,10.0,1,24.379476070404053,5000.0,,0.8456971268682181,0.7090967534554805,0.6193149915777653,0.6611718867076277,0.8983527169015896
a9a,SVC_linear,142,10.0,1,7.90667724609375,5000.0,,0.6618439909916058,0.3111954459203036,0.3222908478382931,0.3166459798648462,0.5974877273513571
a9a,DCD_L2_perm,242,10.0,1,33.32390117645264,5000.0,150085.4580507187,0.8434450283218453,0.7524271844660194,0.5251270468661773,0.6185567010309279,0.8961978354961415
a9a,LinearSVC_L1,242,10.0,1,18.564812660217285,5000.0,,0.846106599331195,0.7198496754355996,0.5948616600790514,0.6514144380893492,0.8986902658411113
a9a,LinearSVC_L2,242,10.0,1,26.81314992904663,5000.0,,0.8389408312290998,0.6647157190635451,0.6733483907396951,0.6690042075736325,0.8970279934306966
a9a,SVC_linear,242,10.0,1,8.410916805267334,5000.0,,0.6289497031324643,0.3476932968976048,0.6106719367588933,0.443101505684728,0.6544637524297321
a9a,DCD_L2_perm,42,100.0,1,33.30187273025513,5000.0,1859839.3373561592,0.8289770012966629,0.7061328790459966,0.4772596430627518,0.5695637238062522,0.866912091988417
a9a,LinearSVC_L1,42,100.0,1,26.649211645126343,5000.0,,0.7827066129802771,0.5311426116838488,0.711859527921704,0.6083640836408364,0.8463175103743074
a9a,LinearSVC_L2,42,100.0,1,27.003311157226562,5000.0,,0.8143042380399919,0.6085327183626406,0.6076568796776051,0.6080944836525998,0.8541973696156896
a9a,SVC_linear,42,100.0,1,1.8471612930297852,5000.0,,0.7146659387156213,0.4204008106282368,0.5374208405296488,0.4717624763108022,0.7377845715012877
a9a,DCD_L2_perm,142,100.0,1,33.885981798172,5000.0,2053889.100071068,0.8074114515798813,0.5998381003777657,0.6240875912408759,0.6117226197028068,0.8536112182252573
a9a,LinearSVC_L1,142,100.0,1,26.71410298347473,5000.0,,0.7524738961304852,0.4938365256969467,0.7310499719258844,0.5894736842105263,0.82468014720344
a9a,LinearSVC_L2,142,100.0,1,26.151861906051636,5000.0,,0.8092540776632772,0.6356561726211531,0.5044918585064571,0.5625293473156988,0.8465181945632656
a9a,SVC_linear,142,100.0,1,2.1025497913360596,5000.0,,0.5856138674674128,0.2650692624485211,0.3975294778214486,0.3180592991913746,0.53950266771177
a9a,DCD_L2_perm,242,100.0,1,34.45574998855591,5000.0,3317033.53134606,0.6812939329830069,0.4249800478850758,0.9020327498588367,0.5777576853526221,0.8549040402882854
a9a,LinearSVC_L1,242,100.0,1,27.363653898239136,5000.0,,0.8012011192247321,0.5824809861001836,0.627046866177301,0.6039428959891231,0.8464338172461341
a9a,LinearSVC_L2,242,100.0,1,26.410539865493774,5000.0,,0.8090493414317887,0.5995717344753747,0.6324110671936759,0.6155537235504259,0.8575025304177378
a9a,SVC_linear,242,100.0,1,2.293403387069702,5000.0,,0.7032007097522691,0.3866891322662174,0.3887634105025409,0.3877234971138955,0.6374055708371877
cod_rna,DCD_L2_perm,42,0.001,1,0.1252729892730713,4.0,16.978662577344714,0.959881551192601,0.8727788279773157,0.7796352583586627,0.8235818765608277,0.9853957544306368
cod_rna,LinearSVC_L1,42,0.001,1,0.12293314933776855,5.0,,0.954141651792958,0.8898828541001065,0.7055048969942587,0.787039653386079,0.985204110103078
cod_rna,LinearSVC_L2,42,0.001,1,0.18822121620178223,5.0,,0.9590094110011358,0.8825259854873505,0.7598784194528876,0.8166228109971871,0.985363427708988
cod_rna,SVC_linear,42,0.001,1,52.889410734176636,5000.0,,0.7724119746876521,0.3453569135586295,0.9991556906450524,0.5132942962481024,0.9861706459946292
cod_rna,DCD_L2_perm,142,0.001,1,0.11433601379394531,4.0,16.87199314902412,0.9588065877007952,0.8713947056499407,0.7616991883957865,0.8128628029116374,0.9846665390367602
cod_rna,LinearSVC_L1,142,0.001,1,0.11471056938171387,5.0,,0.955520850235275,0.8787368421052631,0.720773614228976,0.7919552224646618,0.9842549371520468
cod_rna,LinearSVC_L2,142,0.001,1,0.11034011840820312,5.0,,0.9586037644004544,0.8730600875447672,0.757727508202383,0.811315521863733,0.984691239038982
cod_rna,SVC_linear,142,0.001,1,52.93806433677673,5000.0,,0.8559954567580723,0.449054253911419,0.9962010015541356,0.6190578388239082,0.9854369656002824
cod_rna,DCD_L2_perm,242,0.001,1,0.12723350524902344,4.0,16.905185269713407,0.9575085185786144,0.8814504881450488,0.7467927076299797,0.8085534131408206,0.98491675834584
cod_rna,LinearSVC_L1,242,0.001,1,0.12634706497192383,5.0,,0.9542633457731624,0.8904022132368589,0.7062795408507765,0.7877247481878942,0.9847152353819972
cod_rna,LinearSVC_L2,242,0.001,1,0.14004087448120117,5.0,,0.9588065877007952,0.8722509083954867,0.7699189736664416,0.8178965300815924,0.9849630337587932
cod_rna,SVC_linear,242,0.001,1,54.18711972236633,5000.0,,0.8329141651792958,0.4180594900849858,0.9964550979068196,0.5890041907802834,0.9861150277107696
cod_rna,DCD_L2_perm,42,0.01,1,0.3539094924926758,13.0,154.69990128804378,0.9603074801233166,0.8727204361722128,0.7838568051334008,0.8259051685793078,0.9851995870867556
cod_rna,LinearSVC_L1,42,0.01,1,0.16033172607421875,12.0,,0.9615041375953268,0.8614804168163852,0.8096926713947991,0.8347841225626741,0.9852556148810258
cod_rna,LinearSVC_L2,42,0.01,1,0.3186531066894531,14.0,,0.9611593379847476,0.8670086096354643,0.7992232353934482,0.8317371057024866,0.9851596739977988
cod_rna,SVC_linear,42,0.01,1,56.14804697036743,5000.0,,0.9176131754015902,0.5949560955687155,0.9839581222559944,0.7415372868414355,0.987100771994031
cod_rna,DCD_L2_perm,142,0.01,1,0.28547120094299316,12.0,154.95335832640166,0.96176780788577,0.8505025125628141,0.8183388015886721,0.8341107101997712,0.9845888157810536
cod_rna,LinearSVC_L1,142,0.01,1,0.20624852180480957,11.0,,0.9613215966250204,0.8541210795040116,0.8088413054740115,0.8308647450110864,0.9845913992806434
cod_rna,LinearSVC_L2,142,0.01,1,0.3730628490447998,14.0,,0.9596990102222944,0.8667566525260316,0.7762044551890865,0.8189851507697914,0.984516946076645
cod_rna,SVC_linear,142,0.01,1,49.10290312767029,5000.0,,0.9060319649521336,0.5564327485380117,0.9858400967017786,0.7113575478163354,0.9864884419962852
cod_rna,DCD_L2_perm,242,0.01,1,0.24447965621948242,12.0,154.87865245893673,0.95793444750933,0.8786388670338316,0.7540513166779204,0.8115915697674418,0.9846815366705798
cod_rna,LinearSVC_L1,242,0.01,1,0.15605783462524414,12.0,,0.9599626805127373,0.8654700222057735,0.7895003376097232,0.8257415254237288,0.9847615224688688
cod_rna,LinearSVC_L2,242,0.01,1,0.27158284187316895,14.0,,0.9586848937205906,0.8731042426569399,0.7677245104659014,0.8170304500134734,0.9847291662580796
cod_rna,SVC_linear,242,0.01,1,45.700459241867065,5000.0,,0.9109200064903455,0.5755424063116371,0.9851451721809588,0.726593625498008,0.9869640523470958
cod_rna,DCD_L2_perm,42,0.1,1,2.2776308059692383,108.0,1528.0006183566522,0.9603683271134188,0.8701492537313433,0.7875717662951706,0.826803758198901,0.9850612458448388
cod_rna,LinearSVC_L1,42,0.1,1,0.5416824817657471,72.0,,0.9621937368164856,0.8492254733218588,0.8331644714623438,0.8411183088987385,0.9851458752948192
cod_rna,LinearSVC_L2,42,0.1,1,1.8379862308502197,112.0,,0.9600235275028396,0.8747865680136596,0.7786220871327254,0.8239077995175557,0.9851270903750508
cod_rna,SVC_linear,42,0.1,1,43.42589330673218,5000.0,,0.9528638650008112,0.7403794762159273,0.9356636271529888,0.8266447859167537,0.9861968343369836
cod_rna,DCD_L2_perm,142,0.1,1,2.671992063522339,107.0,1518.6501675648606,0.9607942560441344,0.8572222222222222,0.7993438093593507,0.8272719149316415,0.984545566966109
cod_rna,LinearSVC_L1,142,0.1,1,0.6017642021179199,68.0,,0.961828654875872,0.834961439588689,0.841305474011397,0.8381214519181146,0.9846213297781944
cod_rna,LinearSVC_L2,142,0.1,1,1.8041541576385498,109.0,,0.9595367515820218,0.8681148176881304,0.7729235019858401,0.81775828994245,0.9844583669100642
cod_rna,SVC_linear,142,0.1,1,44.14080619812012,5000.0,,0.9576504948888528,0.7769633507853403,0.8969089967190468,0.8326386662391793,0.9848866285970476
cod_rna,DCD_L2_perm,242,0.1,1,2.7509031295776367,114.0,1520.0636471616638,0.9602871977932824,0.8645220588235294,0.7938892640108035,0.8277015135515664,0.9847665189059888
cod_rna,LinearSVC_L1,242,0.1,1,0.6080460548400879,69.0,,0.9608348207042025,0.8518061674008811,0.8160027008777853,0.8335201310457798,0.9847440660693978
cod_rna,LinearSVC_L2,242,0.1,1,1.789623498916626,117.0,,0.9591311049813402,0.8688431779581053,0.7771775827143822,0.8204579880602334,0.9846624342485996
cod_rna,SVC_linear,242,0.1,1,44.73621225357056,5000.0,,0.9596990102222944,0.8113237387316148,0.8659689399054693,0.8377561851882094,0.9833583991820164
cod_rna,DCD_L2_perm,42,1.0,1,24.441607236862183,1058.0,15318.057048942588,0.9615852669154632,0.8610613122983148,0.8110435663627154,0.835304347826087,0.9851050980839832
cod_rna,LinearSVC_L1,42,1.0,1,4.568577289581299,559.0,,0.9622748661366216,0.8478931140801644,0.8358662613981763,0.8418367346938775,0.9851440653098024
cod_rna,LinearSVC_L2,42,1.0,1,15.483952283859253,1098.0,,0.9619097841960084,0.8580028328611898,0.8183046268152652,0.8376836646499568,0.9851418544033728
cod_rna,SVC_linear,42,1.0,1,33.02313566207886,5000.0,,0.9402076910595488,0.728980597474592,0.7993920972644377,0.7625644329896907,0.9731379598138484
cod_rna,DCD_L2_perm,142,1.0,1,23.711777687072754,1045.0,15154.927878083532,0.9596584455622262,0.8650153609831029,0.7779312726644794,0.8191653786707882,0.9845309390406284
cod_rna,LinearSVC_L1,142,1.0,1,4.1348717212677,554.0,,0.9600235275028396,0.8670253651037664,0.7791400448972544,0.8207366984993179,0.9843330334476326
cod_rna,LinearSVC_L2,142,1.0,1,14.162955045700073,1036.0,,0.9607536913840662,0.857037037037037,0.7991711276118114,0.827093199892771,0.9845612147984936
cod_rna,SVC_linear,142,1.0,1,31.716546535491943,5000.0,,0.8505395099789064,0.4372714262998887,0.949749611466068,0.5988349937394524,0.9664040304530233
cod_rna,DCD_L2_perm,242,1.0,1,24.787308931350708,1100.0,15302.705277781924,0.9578533181891936,0.8770588235294118,0.7550641458474004,0.8115021770682148,0.9846125710513594
cod_rna,LinearSVC_L1,242,1.0,1,4.254022121429443,555.0,,0.9604900210936232,0.8619810633648944,0.799122214719784,0.8293622985283812,0.9846853968462989
cod_rna,LinearSVC_L2,242,1.0,1,16.17178750038147,1124.0,,0.960429174103521,0.857477055965449,0.8043551654287644,0.8300670673286299,0.984814179623938
cod_rna,SVC_linear,242,1.0,1,33.89330554008484,5000.0,,0.8584496186921954,0.4559866499791405,0.9225185685347738,0.6103076665363784,0.9557920282857488
cod_rna,DCD_L2_perm,42,10.0,1,115.61941242218018,5000.0,157148.4901078558,0.9620923251663152,0.8415641328164504,0.8431273218507261,0.8423450021088148,0.9851869911480132
cod_rna,LinearSVC_L1,42,10.0,1,32.920156478881836,5000.0,,0.9611187733246797,0.8650865998176845,0.8012495778453226,0.8319452967476111,0.9850208072763608
cod_rna,LinearSVC_L2,42,10.0,1,69.3344361782074,5000.0,,0.9585834820704202,0.8830963665086888,0.7551502870651807,0.814127070817404,0.9850798556047669
cod_rna,SVC_linear,42,10.0,1,21.91063165664673,5000.0,,0.3587741359727405,0.0961870933266274,0.5167173252279635,0.1621836491321054,0.4913274022965807
cod_rna,DCD_L2_perm,142,10.0,1,115.37854266166687,5000.0,152446.55493466248,0.9591716696414084,0.866227219852656,0.7715420480055258,0.816147593387524,0.984246821550417
cod_rna,LinearSVC_L1,142,10.0,1,32.210758447647095,5000.0,,0.9617069608956677,0.8347915594441585,0.8402693835261613,0.8375215146299484,0.9845575280533032
cod_rna,LinearSVC_L2,142,10.0,1,60.685394287109375,5000.0,,0.9603480447833848,0.8096545043590572,0.8659989639095148,0.8368794326241135,0.9847185106352656
cod_rna,SVC_linear,142,10.0,1,21.773540258407593,5000.0,,0.8660757747850073,0.46375,0.8969089967190468,0.6113824966158554,0.9415859333296857
cod_rna,DCD_L2_perm,242,10.0,1,114.25588512420654,5000.0,152986.79580422767,0.9580561414895344,0.8714836223506743,0.763504388926401,0.8139283786215584,0.9844548875428084
cod_rna,LinearSVC_L1,242,10.0,1,32.923919916152954,5000.0,,0.96012493915301,0.8589046064562931,0.799459824442944,0.8281168036369995,0.9846960551338936
cod_rna,LinearSVC_L2,242,10.0,1,71.19718551635742,5000.0,,0.956048190816161,0.891762252346194,0.7218095881161377,0.7978356189943092,0.9846439233051572
cod_rna,SVC_linear,242,10.0,1,19.843966007232666,5000.0,,0.7561252636702904,0.3158434971621784,0.8830182309250506,0.4652672774170595,0.9058323928046326
cod_rna,DCD_L2_perm,42,100.0,1,117.35527038574219,5000.0,4829686.2573664095,0.8775961382443616,0.4952203705270281,0.988517392772712,0.659865862593699,0.9850777147622736
cod_rna,LinearSVC_L1,42,100.0,1,83.02327632904053,5000.0,,0.9619300665260424,0.8451954258405872,0.8362039851401554,0.840675664205076,0.9851944840967398
cod_rna,LinearSVC_L2,42,100.0,1,81.02827620506287,5000.0,,0.9551760506246958,0.8656422379826635,0.7419790611279973,0.7990543735224587,0.9834893264054736
cod_rna,SVC_linear,42,100.0,1,11.865084171295166,5000.0,,0.8873722213207853,0.5178623293639268,0.903242147922999,0.6582979508953295,0.957767345179837
cod_rna,DCD_L2_perm,142,100.0,1,119.10015678405762,5000.0,5007593.416287758,0.8721199091351615,0.4785260695187165,0.9889483681574858,0.6449687482403288,0.982968548813318
cod_rna,LinearSVC_L1,142,100.0,1,82.94879484176636,5000.0,,0.9552977446049002,0.7596641088750543,0.9060611293386288,0.826429358954166,0.9838812504057056
cod_rna,LinearSVC_L2,142,100.0,1,79.74535012245178,5000.0,,0.9504502677267564,0.7286260584539743,0.921257123122086,0.8136963318843895,0.9833802856273492
cod_rna,SVC_linear,142,100.0,1,11.800899028778076,5000.0,,0.7030261236410839,0.2624912789137552,0.8445864272146434,0.4005076973468719,0.8614023010361742
cod_rna,DCD_L2_perm,242,100.0,1,118.53554630279541,5000.0,3053236.323560655,0.9158688950186598,0.932748538011696,0.3230925050641458,0.4799398194583751,0.9807416825665438
cod_rna,LinearSVC_L1,242,100.0,1,85.98847818374634,5000.0,,0.9440207691059548,0.9119791666666668,0.5911546252532073,0.717328963539533,0.9844162546551696
cod_rna,LinearSVC_L2,242,100.0,1,86.33859634399414,5000.0,,0.9229879928606198,0.9300444803881924,0.388251181634031,0.5478146957246636,0.983689012336686
cod_rna,SVC_linear,242,100.0,1,10.944718360900879,5000.0,,0.4733895829952945,0.172484800941361,0.8907832545577312,0.2890081603592749,0.7814945997231257
news20,LinearSVC_L1,42,0.001,1,83.26026320457458,2533.0,,0.9671611935322554,0.9575757575757576,0.979125896934116,0.9682309304950816,0.994418786247948
news20,LinearSVC_L2,42,0.001,1,170.78676390647888,5000.0,,0.9673278879813302,0.9575892857142856,0.9794520547945206,0.9683972911963884,0.9945276538051712
news20,SVC_linear,42,0.001,1,364.8773980140686,5000.0,,0.9223203867311218,0.8765932792584009,0.9869536855838226,0.9285056765879104,0.9835242463284724
news20,LinearSVC_L1,142,0.001,1,91.85281133651733,2880.0,,0.9668278046341056,0.9530440414507771,0.981981981981982,0.9672966310599836,0.9947630842034572
news20,LinearSVC_L2,142,0.001,1,172.57862424850464,4918.0,,0.9663277212868812,0.952411783748786,0.9816483149816484,0.9668090699967138,0.9947200698366588
a9a,DCD_L1_perm,42,0.001,1,0.0506591796875,9,12.357671634042715,0.8469937896676448,0.7271386430678466,0.5676453655728267,0.6375687035240867,0.8989072492459673
a9a,DCD_L1_perm,142,0.001,1,0.07086563110351562,7,12.350857874702657,0.8487681703405446,0.740873299928418,0.5811341942728804,0.6513530522341096,0.9020050350651805
a9a,DCD_L1_perm,242,0.001,1,0.09684634208679199,8,12.284136277064022,0.8442639732477991,0.7253218884120172,0.572557876905703,0.639949510886715,0.8973365679450132
a9a,DCD_L1_perm,42,0.01,1,0.2692403793334961,64,120.37837534923175,0.8491093973930253,0.7249732810830067,0.5857800805987334,0.647985989492119,0.9007934705478026
a9a,DCD_L1_perm,142,0.01,1,0.2410905361175537,39,120.34017750580705,0.8489046611615368,0.7308219178082191,0.5991016282987086,0.6584387534711509,0.9033956036506932
a9a,DCD_L1_perm,242,0.01,1,0.17227864265441895,39,119.58246701192091,0.846106599331195,0.7192504258943782,0.5959909655561829,0.6518449899644897,0.898842291641437
a9a,DCD_L1_perm,42,0.1,1,2.3789384365081787,481,1199.7550531052575,0.8485634341090562,0.7245080500894454,0.582901554404145,0.6460360504067635,0.9012296140014562
a9a,DCD_L1_perm,142,0.1,1,1.8205008506774902,346,1199.0410154228089,0.8492458882140176,0.7327141382868937,0.5979786636720943,0.658525274385531,0.9036793569971981
a9a,DCD_L1_perm,242,0.1,1,1.7197461128234863,333,1191.5533405110648,0.8461748447416911,0.7236111111111111,0.5883681535855448,0.6490189971971349,0.8989881937215759
a9a,DCD_L1_perm,42,1.0,1,20.693665504455566,3986,11994.25969451487,0.8484269432880639,0.7217699115044248,0.5869314910765688,0.6474043498968091,0.9010307770815652
a9a,DCD_L1_perm,142,1.0,1,15.365213632583618,3071,11986.02405072396,0.8497918514979867,0.731699012597889,0.6033127456485121,0.6613325126942606,0.9038028567811051
a9a,DCD_L1_perm,242,1.0,1,17.398882627487183,3345,11908.794785886512,0.8465160717941719,0.7239348804987876,0.5900621118012422,0.650178876963758,0.899214390224083
a9a,DCD_L1_perm,42,10.0,1,28.380706548690796,5000,121274.5827083041,0.8466525626151641,0.7156414762741652,0.5860679332181923,0.6444057604051274,0.8985249478020898
a9a,DCD_L1_perm,142,10.0,1,30.29584789276123,5000,121489.15949770686,0.8469255442571487,0.7143321416964575,0.6170690623245367,0.6621479138424462,0.901750391116399
a9a,DCD_L1_perm,242,10.0,1,28.941627502441406,5000,120609.09902495342,0.8462430901521872,0.7104146261834803,0.6143421795595708,0.65889477668433,0.8982410490395136
a9a,DCD_L1_perm,42,100.0,1,34.70976519584656,5000,2473339.503357007,0.6802020064150686,0.4201370585134423,0.9176741508347726,0.5763876333393599,0.8515828005909797
a9a,DCD_L1_perm,142,100.0,1,34.31077766418457,5000,1493898.053809769,0.8021565549716781,0.7196819085487077,0.304884896125772,0.42831788601853676,0.8555187444018197
a9a,DCD_L1_perm,242,100.0,1,36.33136963844299,5000,1608171.1762374649,0.7960827134375213,0.5765616362631288,0.5889328063241107,0.5826815642458101,0.8354349551400653
cod_rna,DCD_L1_perm,42,0.001,1,0.12338805198669434,4,16.110724321462918,0.9539185461625832,0.8901239846088072,0.7031408308004052,0.7856603773584906,0.9851844143521395
